ID	Sample	Cohort	Subtype	ConfidenceLevel	Study
210	TCGA-D3-A51H-06A-12D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
211	TCGA-EB-A4IQ-01A-12D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
212	TCGA-EE-A184-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
213	TCGA-BF-A1PZ-01A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
214	TCGA-GN-A263-01A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
215	TCGA-ER-A19B-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
216	TCGA-D3-A51K-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
217	TCGA-EE-A2GH-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
218	TCGA-ER-A1A1-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
219	TCGA-GF-A2C7-01A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
220	TCGA-ER-A2NE-06A-21D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
221	TCGA-FS-A1YW-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
222	TCGA-EE-A2MQ-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
223	TCGA-DA-A1HV-06A-21D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
224	TCGA-D3-A1QA-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
225	TCGA-EE-A29Q-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
226	TCGA-FW-A5DX-01A-11D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
227	TCGA-DA-A1I5-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
228	TCGA-EE-A3AE-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
229	TCGA-ER-A19K-01A-21D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
230	TCGA-EB-A553-01A-12D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
231	TCGA-GN-A269-01A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
232	TCGA-RP-A693-06A-13D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
233	TCGA-EE-A17X-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
234	TCGA-FW-A5DY-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
235	TCGA-FR-A3R1-01A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
236	TCGA-EE-A17Z-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
237	TCGA-ER-A2NC-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
238	TCGA-EE-A3J5-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
239	TCGA-FS-A4F8-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
240	TCGA-GN-A26C-01A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
241	TCGA-EB-A5UN-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
242	TCGA-FS-A1YY-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
243	TCGA-EB-A44P-01A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
244	TCGA-EE-A3J8-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
245	TCGA-EE-A20F-06A-21D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
246	TCGA-FS-A4FC-06A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
247	TCGA-D3-A2J9-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
248	TCGA-ER-A19J-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
249	TCGA-RP-A695-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
250	TCGA-ER-A42H-01A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
251	TCGA-FW-A3TU-06A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
252	TCGA-EE-A180-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
253	TCGA-EE-A2A2-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
254	TCGA-EE-A29V-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
255	TCGA-EE-A3AC-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
256	TCGA-D3-A3CF-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
257	TCGA-FS-A4FB-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
258	TCGA-D3-A1QB-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
